Player,Age,PTS,FG%,3P%,FT%,TRB,AST,STL,BLK
Julius Randle,28,25.1,0.459,0.343,0.757,10,4.1,0.6,0.3
Jalen Brunson,26,24,0.491,0.416,0.829,3.5,6.2,0.9,0.2
RJ Barrett,22,19.6,0.434,0.31,0.74,5,2.8,0.4,0.2
Josh Hart,27,10.2,0.586,0.519,0.789,7,3.6,1.4,0.5
Quentin Grimes,22,11.3,0.468,0.386,0.796,3.2,2.1,0.7,0.4
Immanuel Quickley,23,14.9,0.448,0.37,0.819,4.2,3.4,1,0.2
Mitchell Robinson,24,7.4,0.671,0,0.484,9.4,0.9,0.9,1.8
Cam Reddish,23,8.4,0.449,0.304,0.879,1.6,1,0.8,0.4
Isaiah Hartenstein,24,5,0.535,0.216,0.676,6.5,1.2,0.6,0.8
Evan Fournier,30,6.1,0.337,0.307,0.857,1.8,1.3,0.6,0.1
Obi Toppin,24,7.4,0.446,0.344,0.809,2.8,1,0.3,0.2
Jericho Sims,24,3.4,0.776,0,0.75,4.7,0.5,0.3,0.5
Derrick Rose,34,5.6,0.384,0.302,0.917,1.5,1.7,0.3,0.2
Miles McBride,22,3.5,0.358,0.299,0.667,0.8,1.1,0.6,0.1
Svi Mykhailiuk,25,1.6,0.5,0.6,0.6,0.5,0.1,0.1,0
Trevor Keels,19,1,0.25,0.25,0,0.7,0,0,0
Ryan Arcidiacono,28,0.3,0.2,0.333,0,0.4,0.2,0.2,0
