Season,Team,W,L,W/L%
2022-23,Miami Heat,44,38,0.537
2021-22,Miami Heat,53,29,0.646
2020-21,Miami Heat,40,32,0.556
2019-20,Miami Heat,44,29,0.603
2018-19,Miami Heat,39,43,0.476
2017-18,Miami Heat,44,38,0.537
2016-17,Miami Heat,41,41,0.5
2015-16,Miami Heat,48,34,0.585
2014-15,Miami Heat,37,45,0.451
2013-14,Miami Heat,54,28,0.659
2012-13,Miami Heat,66,16,0.805
2011-12,Miami Heat,46,20,0.697
2010-11,Miami Heat,58,24,0.707
2009-10,Miami Heat,47,35,0.573
2008-09,Miami Heat,43,39,0.524
2007-08,Miami Heat,15,67,0.183
2006-07,Miami Heat,44,38,0.537
2005-06,Miami Heat,52,30,0.634
2004-05,Miami Heat,59,23,0.72
2003-04,Miami Heat,42,40,0.512
2002-03,Miami Heat,25,57,0.305
2001-02,Miami Heat,36,46,0.439
2000-01,Miami Heat,50,32,0.61
1999-00,Miami Heat,52,30,0.634
1998-99,Miami Heat,33,17,0.66
1997-98,Miami Heat,55,27,0.671
1996-97,Miami Heat,61,21,0.744
1995-96,Miami Heat,42,40,0.512
1994-95,Miami Heat,32,50,0.39
1993-94,Miami Heat,42,40,0.512
1992-93,Miami Heat,36,46,0.439
1991-92,Miami Heat,38,44,0.463
1990-91,Miami Heat,24,58,0.293
