Season,Lg,Team,W,L,W/L%
2022-23,NBA,Los Angeles Lakers,43,39,0.524
2021-22,NBA,Los Angeles Lakers,33,49,0.402
2020-21,NBA,Los Angeles Lakers,42,30,0.583
2019-20,NBA,Los Angeles Lakers,52,19,0.732
2018-19,NBA,Los Angeles Lakers,37,45,0.451
2017-18,NBA,Los Angeles Lakers,35,47,0.427
2016-17,NBA,Los Angeles Lakers,26,56,0.317
2015-16,NBA,Los Angeles Lakers,17,65,0.207
2014-15,NBA,Los Angeles Lakers,21,61,0.256
2013-14,NBA,Los Angeles Lakers,27,55,0.329
2012-13,NBA,Los Angeles Lakers,45,37,0.549
2011-12,NBA,Los Angeles Lakers,41,25,0.621
2010-11,NBA,Los Angeles Lakers,57,25,0.695
2009-10,NBA,Los Angeles Lakers,57,25,0.695
2008-09,NBA,Los Angeles Lakers,65,17,0.793
2007-08,NBA,Los Angeles Lakers,57,25,0.695
2006-07,NBA,Los Angeles Lakers,42,40,0.512
2005-06,NBA,Los Angeles Lakers,45,37,0.549
2004-05,NBA,Los Angeles Lakers,34,48,0.415
2003-04,NBA,Los Angeles Lakers,56,26,0.683
2002-03,NBA,Los Angeles Lakers,50,32,0.61
2001-02,NBA,Los Angeles Lakers,58,24,0.707
2000-01,NBA,Los Angeles Lakers,56,26,0.683
1999-00,NBA,Los Angeles Lakers,67,15,0.817
1998-99,NBA,Los Angeles Lakers,31,19,0.62
1997-98,NBA,Los Angeles Lakers,61,21,0.744
1996-97,NBA,Los Angeles Lakers,56,26,0.683
1995-96,NBA,Los Angeles Lakers,53,29,0.646
1994-95,NBA,Los Angeles Lakers,48,34,0.585
